name,type_id,1st,2nd,3rd,4th,5th
初始紧凑型跃迁扰断器,5405,舰船装备,电子战,跃迁扰断器,,
J5b持久型跃迁扰频器,5439,舰船装备,电子战,跃迁扰频器,,
伊普西隆眩晕视野型跃迁扰频器,5443,舰船装备,电子战,跃迁扰频器,,
初始紧凑型跃迁扰频器,5445,舰船装备,电子战,跃迁扰频器,,
抑制型扩充货柜 D型,5493,舰船装备,船体和装甲,船体加固,扩充货柜舱,
抑制型惯性稳定器 D型,5533,舰船装备,推进器,推进器改良,惯性稳定器,
抑制型纳米纤维构架 D型,5599,舰船装备,船体和装甲,船体加固,纳米纤维内部构架,
抑制型超载喷注器 D型,5631,舰船装备,推进器,推进器改良,超载喷注器,
抑制型强化舱隔壁 D型,5647,舰船装备,船体和装甲,船体加固,强化舱隔壁,
紧凑型强化舱隔壁 MK I,5649,舰船装备,船体和装甲,船体加固,强化舱隔壁,
中型基础结构维修组件,5683,舰船装备,船体和装甲,结构维修器,中型,
小型基础结构维修组件,5693,舰船装备,船体和装甲,结构维修器,小型,
大型基础结构维修组件,5697,舰船装备,船体和装甲,结构维修器,大型,
曙光中型结构再造装置 I,5719,舰船装备,船体和装甲,结构维修器,中型,
中型自动结构复位装置,5721,舰船装备,船体和装甲,结构维修器,中型,
中型I-b偏振式结构再生器,5723,舰船装备,船体和装甲,结构维修器,中型,
曙光小型结构再造装置 I,5743,舰船装备,船体和装甲,结构维修器,小型,
小型自动结构复位装置,5745,舰船装备,船体和装甲,结构维修器,小型,
小型I-b偏振式结构再生器,5747,舰船装备,船体和装甲,结构维修器,小型,
曙光大型结构再造装置 I,5755,舰船装备,船体和装甲,结构维修器,大型,
大型自动结构复位装置,5757,舰船装备,船体和装甲,结构维修器,大型,
大型I-b偏振式结构再生器,5759,舰船装备,船体和装甲,结构维修器,大型,
IFFA紧凑型损伤控制,5839,舰船装备,船体和装甲,损伤控制,,
挤压紧凑型散热槽,5849,舰船装备,炮台和发射器,武器升级,散热槽,
间接式目标锁定器 I,5865,舰船装备,电子学和感应器升级,被动索敌系统,,
被动式锁定天线阵列 I,5867,舰船装备,电子学和感应器升级,被动索敌系统,,
抑制型锁定系统 I,5869,舰船装备,电子学和感应器升级,被动索敌系统,,
41F隐蔽锁定元件,5871,舰船装备,电子学和感应器升级,被动索敌系统,,
反制性紧凑型回转稳定器,5933,舰船装备,炮台和发射器,武器升级,回转稳定器,
冷气持久型500MN微型跃迁推进器,5945,舰船装备,推进器,微型跃迁推进器,,
单元推进持久型100MN加力燃烧器,5955,舰船装备,推进器,加力燃烧器,,
冷气持久型5MN微型跃迁推进器,5971,舰船装备,推进器,微型跃迁推进器,,
Y-T8紧凑型5MN微型跃迁推进器,5973,舰船装备,推进器,微型跃迁推进器,,
冷气持久型50MN微型跃迁推进器,5975,舰船装备,推进器,微型跃迁推进器,,
Y-S8紧凑型1MN加力燃烧器,6001,舰船装备,推进器,加力燃烧器,,
单元推进持久型1MN加力燃烧器,6003,舰船装备,推进器,加力燃烧器,,
单元推进持久型10MN加力燃烧器,6005,舰船装备,推进器,加力燃烧器,,
敌对目标锁定器 I,6041,舰船装备,电子学和感应器升级,自动锁定系统,,
异端敌对锁定天线阵列 I,6043,舰船装备,电子学和感应器升级,自动锁定系统,,
被动式自动锁定系统 I,6045,舰船装备,电子学和感应器升级,自动锁定系统,,
自动锁定元件 I,6047,舰船装备,电子学和感应器升级,自动锁定系统,,
中型紧凑型铅酸电容器电池,6073,舰船装备,工程装备,电容电池,中型,
持久型货柜扫描器 E型,6131,舰船装备,扫描设备,货舱扫描器,,
PL-0视野型货柜扫描器,6135,舰船装备,扫描设备,货舱扫描器,,
电偶合金线持久型感应增强器,6159,舰船装备,电子学和感应器升级,感应增强器,,
F-90紧凑型感应增强器,6160,舰船装备,电子学和感应器升级,感应增强器,,
光学紧凑型索敌计算机,6173,舰船装备,炮台和发射器,武器升级,索敌计算机,
F-12持久型索敌计算机,6176,舰船装备,炮台和发射器,武器升级,索敌计算机,
F-89紧凑型信号放大器,6296,舰船装备,电子学和感应器升级,信号放大器,,
傅立叶紧凑型索敌增强器,6325,舰船装备,炮台和发射器,武器升级,索敌增强器,
小型C-5L紧凑型护盾回充增量器,6437,舰船装备,护盾,护盾回充增量器,小型,
小型清澈防御持久型护盾回充增量器,6441,舰船装备,护盾,护盾回充增量器,小型,
M51感恩紧凑型护盾回充器,6485,舰船装备,护盾,护盾回充器,,
Ta3紧凑型船体扫描器,6527,舰船装备,扫描设备,舰船扫描器,,
ML-3视野型测量扫描器,6569,舰船装备,扫描设备,测量扫描器,,
双联增强模式轻型激光器 I,6631,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
双联无焦点轻型微波激射器 I,6633,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
双联调制型轻型能量光束 I,6635,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
双联阳极轻型粒子束 I,6637,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
小型聚焦增强模式脉冲激光器 I,6671,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
小型聚焦无焦点脉冲微波激射器 I,6673,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
小型聚焦调制型脉冲能量光束 I,6675,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
小型聚焦阳极脉冲粒子束 I,6677,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
小型聚焦增强模式激光器 I,6715,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
小型聚焦无焦点微波激射器 I,6717,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
小型聚焦调制型能量光束 I,6719,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
小型聚焦阳极粒子束 I,6721,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
四联增强模式轻型激光器 I,6757,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
四联无焦点轻型微波激射器 I,6759,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
四联调制型轻型能量光束 I,6761,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
四联阳极轻型粒子束 I,6763,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
聚焦增强模式脉冲激光器 I,6805,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
聚焦无焦点脉冲微波激射器 I,6807,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
聚焦调制型脉冲能量光束 I,6809,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
聚焦阳极脉冲粒子束 I,6811,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
聚焦增强模式中型激光器 I,6859,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
聚焦无焦点中型微波激射器 I,6861,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
聚焦调制型中型能量光束 I,6863,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
聚焦阳极中型粒子束 I,6865,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
重型增强模式脉冲激光器 I,6919,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
重型无焦点脉冲微波激射器 I,6921,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
重型调制型脉冲能量光束 I,6923,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
重型阳极脉冲粒子束 I,6925,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
重型增强模式激光器 I,6959,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
重型无焦点微波激射器 I,6961,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
重型调制型能量光束 I,6963,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
重型阳极粒子束 I,6965,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
双联重型增强模式脉冲激光器 I,6999,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
双联重型无焦点脉冲微波激射器 I,7001,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
双联重型调制型脉冲能量光束 I,7003,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
双联重型阳极脉冲粒子束 I,7005,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
双联增强模式重型激光器 I,7043,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
双联无焦点重型微波激射器 I,7045,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
双联调制型重型能量光束 I,7047,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
双联阳极重型粒子束 I,7049,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超级增强模式脉冲激光器 I,7083,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
超级无焦点脉冲微波激射器 I,7085,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
超级调制型脉冲能量光束 I,7087,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
超级阳极脉冲粒子束 I,7089,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
超级增强模式激光器 I,7123,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超级无焦点微波激射器 I,7125,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超级调制型能量光束 I,7127,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超级阳极粒子束 I,7131,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超光速粒子增强模式激光器 I,7167,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超光速粒子无焦点微波激射器 I,7169,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超光速粒子调制型能量光束 I,7171,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超光速粒子阳极粒子束 I,7173,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
75mm尖端型高斯炮 I,7247,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
75mm侦查员飞速加农炮 I,7249,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
75mm碳化物磁轨炮 I,7251,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
75mm压缩型线圈炮 I,7253,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
150mm尖端型高斯炮 I,7287,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
150mm侦查员飞速加农炮 I,7289,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
150mm碳化物磁轨炮 I,7291,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
150mm压缩型线圈炮 I,7293,舰船装备,炮台和发射器,混合炮台,磁轨炮,小型
双联150mm尖端型高斯炮 I,7327,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
双联150mm侦查员飞速加农炮 I,7329,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
双联150mm碳化物磁轨炮 I,7331,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
双联150mm压缩型线圈炮 I,7333,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
250mm尖端型高斯炮 I,7367,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
250mm侦查员飞速加农炮 I,7369,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
250mm碳化物磁轨炮 I,7371,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
250mm压缩型线圈炮 I,7373,舰船装备,炮台和发射器,混合炮台,磁轨炮,中型
双联250mm尖端型高斯炮 I,7407,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
双联250mm侦查员飞速加农炮 I,7409,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
双联250mm碳化物磁轨炮 I,7411,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
双联250mm压缩型线圈炮 I,7413,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
425mm尖端型高斯炮 I,7447,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
425mm侦查员飞速加农炮 I,7449,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
425mm碳化物磁轨炮 I,7451,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
425mm压缩型线圈炮 I,7453,舰船装备,炮台和发射器,混合炮台,磁轨炮,大型
增强模式轻型电子加速器 I,7487,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
有限轻型电子疾速炮 I,7489,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
校准型轻型电子相位加农炮 I,7491,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
阳极轻型电子加农炮 I,7493,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
增强模式轻型离子加速器 I,7535,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
有限轻型离子疾速炮 I,7537,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
校准型轻型离子相位加农炮 I,7539,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
阳极轻型离子加农炮 I,7541,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
增强模式轻型中子加速器 I,7579,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
有限轻型中子疾速炮 I,7581,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
校准型轻型中子相位加农炮 I,7583,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
阳极轻型中子加农炮 I,7585,舰船装备,炮台和发射器,混合炮台,疾速炮,小型
增强模式电子加速器 I,7619,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
有限电子疾速炮 I,7621,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
校准型电子相位加农炮 I,7623,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
阳极电子加农炮 I,7625,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
增强模式离子加速器 I,7663,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
有限离子疾速炮 I,7665,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
校准型离子相位加农炮 I,7667,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
阳极离子加农炮 I,7669,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
增强模式中子加速器 I,7703,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
有限中子疾速炮 I,7705,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
校准型中子相位加农炮 I,7707,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
阳极中子加农炮 I,7709,舰船装备,炮台和发射器,混合炮台,疾速炮,中型
增强模式超级电子加速器 I,7743,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
有限电子疾速加农炮 I,7745,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
校准型超级电子相位加农炮 I,7747,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
阳极超级电子加农炮 I,7749,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
增强模式超级中子加速器 I,7783,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
有限超级中子疾速炮 I,7785,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
校准型超级中子相位加农炮 I,7787,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
阳极超级中子加农炮 I,7789,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
增强模式超级离子加速器 I,7827,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
有限超级离子疾速炮 I,7829,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
校准型超级离子相位加农炮 I,7831,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
阳极超级离子加农炮 I,7833,舰船装备,炮台和发射器,混合炮台,疾速炮,大型
XR-3200重型导弹发射舱,7997,舰船装备,炮台和发射器,导弹发射器,重型发射器,
实验型ZW-4100鱼雷发射器,8001,舰船装备,炮台和发射器,导弹发射器,鱼雷发射器,
实验型SV-2000轻型快速导弹发射器,8007,舰船装备,炮台和发射器,导弹发射器,轻型快速导弹发射器,
改良型马库斯轻型快速导弹发射器,8023,舰船装备,炮台和发射器,导弹发射器,轻型快速导弹发射器,
限量型房车轻型快速导弹发射器,8025,舰船装备,炮台和发射器,导弹发射器,轻型快速导弹发射器,
尖端型劲弩轻型快速导弹发射器,8027,舰船装备,炮台和发射器,导弹发射器,轻型快速导弹发射器,
劲弩紧凑型轻型导弹发射器,8089,舰船装备,炮台和发射器,导弹发射器,轻型导弹发射器,
TE-2100充裕型轻型导弹发射器,8091,舰船装备,炮台和发射器,导弹发射器,轻型导弹发射器,
马库斯重型导弹发射器 I,8101,舰船装备,炮台和发射器,导弹发射器,重型发射器,
高级房车重型导弹发射舱 I,8103,舰船装备,炮台和发射器,导弹发射器,重型发射器,
劲弩重型导弹发射器,8105,舰船装备,炮台和发射器,导弹发射器,重型发射器,
改良型马库斯鱼雷发射器,8113,舰船装备,炮台和发射器,导弹发射器,鱼雷发射器,
限量型房车鱼雷发射器,8115,舰船装备,炮台和发射器,导弹发射器,鱼雷发射器,
尖端型劲弩鱼雷发射器,8117,舰船装备,炮台和发射器,导弹发射器,鱼雷发射器,
紧凑型电容通量线圈MKI,8133,舰船装备,工程装备,电容通量线圈,,
抑制型电容通量线圈 D型,8135,舰船装备,工程装备,电容通量线圈,,
抑制型电容能源继电器 D型,8175,舰船装备,工程装备,电容能源继电器,,
紧凑型电容能源继电器 MKI,8177,舰船装备,工程装备,电容能源继电器,,
紧凑型能源诊断系统 MKI,8225,舰船装备,工程装备,能源诊断系统,,
紧凑型反应堆控制元件MKI,8263,舰船装备,工程装备,反应堆控制单元,,
抑制型护盾通量线圈 D型,8295,舰船装备,护盾,护盾通量线圈,,
紧凑型护盾通量线圈MKI,8297,舰船装备,护盾,护盾通量线圈,,
抑制型护盾能源继电器 D型,8335,舰船装备,护盾,护盾能源继电器,,
紧凑型护盾能源继电器 MKI,8337,舰船装备,护盾,护盾能源继电器,,
大型恒沸点抑制型护盾扩展装置,8419,舰船装备,护盾,护盾扩展装置,大型,
小型恒沸点抑制型护盾扩展装置,8427,舰船装备,护盾,护盾扩展装置,小型,
中型恒沸点抑制型护盾扩展装置,8433,舰船装备,护盾,护盾扩展装置,中型,
中型F-S9覆盖式紧凑型护盾扩展装置,8517,舰船装备,护盾,护盾扩展装置,中型,
小型F-S9覆盖式紧凑型护盾扩展装置,8521,舰船装备,护盾,护盾扩展装置,小型,
大型F-S9覆盖式紧凑型护盾扩展装置,8529,舰船装备,护盾,护盾扩展装置,大型,
小型昏暗紧凑型远程护盾回充增量器,8531,舰船装备,护盾,远程护盾回充增量器,小型,
小型不对称持久型远程护盾回充增量器,8535,舰船装备,护盾,远程护盾回充增量器,小型,
小型S95a视野型远程护盾回充增量器,8537,舰船装备,护盾,远程护盾回充增量器,小型,
中型昏暗紧凑型远程护盾回充增量器,8579,舰船装备,护盾,远程护盾回充增量器,中型,
中型不对称持久型远程护盾回充增量器,8583,舰船装备,护盾,远程护盾回充增量器,中型,
中型S95a视野型远程护盾回充增量器,8585,舰船装备,护盾,远程护盾回充增量器,中型,
大型昏暗紧凑型远程护盾回充增量器,8635,舰船装备,护盾,远程护盾回充增量器,大型,
大型不对称持久型远程护盾回充增量器,8639,舰船装备,护盾,远程护盾回充增量器,大型,
大型S95a视野型远程护盾回充增量器,8641,舰船装备,护盾,远程护盾回充增量器,大型,
光子改良型协处理器,8748,舰船装备,电子学和感应器升级,CPU升级模块,,
125mm轻型侦查员自动加农炮 I,8759,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
125mm轻型卡宾频射加农炮 I,8785,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
125mm轻型镓金属机关炮,8787,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
125mm轻型尖端型自动加农炮,8789,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
150mm轻型侦查员自动加农炮 I,8815,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
150mm轻型卡宾频射加农炮 I,8817,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
150mm轻型镓金属机关炮,8819,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
150mm轻型尖端型自动加农炮,8821,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
200mm轻型侦查员自动加农炮 I,8863,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
200mm轻型卡宾频射加农炮 I,8865,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
200mm轻型镓金属机关炮,8867,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
200mm轻型尖端型自动加农炮,8869,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
250mm轻型侦查员火炮 I,8903,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
250mm轻型卡宾榴弹炮 I,8905,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
250mm轻型镓金属加农炮,8907,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
250mm轻型尖端型会战型加农炮,8909,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
双联180mm侦查员自动加农炮 I,9071,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
双联180mm卡宾频射加农炮 I,9073,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
双联180mm镓金属机关炮,9091,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
双联180mm尖端型自动加农炮,9093,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
220mm中型侦查员自动加农炮 I,9127,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
220mm中型卡宾频射加农炮 I,9129,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
220mm中型镓金属机关炮,9131,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
220mm中型尖端型自动加农炮,9133,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
425mm中型侦查员自动加农炮 I,9135,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
425mm中型卡宾频射加农炮 I,9137,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
425mm中型镓金属机关炮,9139,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
425mm中型尖端型自动加农炮,9141,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
650mm中型侦查员火炮 I,9207,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
650mm中型卡宾榴弹炮 I,9209,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
650mm中型镓金属加农炮,9211,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
650mm中型尖端型会战型加农炮,9213,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
双联425mm侦查员自动加农炮 I,9247,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联425mm卡宾频射加农炮 I,9249,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联425mm镓金属机关炮,9251,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联425mm尖端型自动加农炮,9253,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联650mm侦查员频射加农炮 I,9287,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联650mm卡宾频射加农炮 I,9289,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联650mm镓金属频射加农炮,9291,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联650mm尖端型自动加农炮,9293,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
800mm重型侦查员频射加农炮 I,9327,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
800mm重型卡宾频射加农炮 I,9329,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
800mm重型镓金属频射加农炮,9331,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
800mm重型尖端型自动加农炮,9333,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
1200mm重型侦查员火炮 I,9367,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1200mm重型卡宾榴弹炮 I,9369,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1200mm重型镓金属加农炮,9371,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1200mm重型尖端型会战型加农炮,9377,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
280mm侦查员火炮 I,9411,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
280mm卡宾榴弹炮 I,9413,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
280mm镓金属加农炮,9415,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
280mm尖端型会战型加农炮,9417,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
720mm侦查员火炮 I,9451,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
720mm卡宾榴弹炮 I,9453,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
720mm镓金属加农炮,9455,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
720mm尖端型会战型加农炮,9457,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
1400mm侦查员火炮 I,9491,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1400mm卡宾榴弹炮 I,9493,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1400mm镓金属加农炮,9495,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
1400mm尖端型会战型加农炮,9497,舰船装备,炮台和发射器,射弹炮台,加农火炮,大型
初始持久型多谱式ECM,9521,舰船装备,电子战,ECM,多谱干扰器,
紧凑型爆炸护盾增效器,9556,舰船装备,护盾,护盾抗性增效器,爆炸护盾增效器,
紧凑型热能护盾增效器,9568,舰船装备,护盾,护盾抗性增效器,热能护盾增效器,
紧凑型电磁护盾增效器,9580,舰船装备,护盾,护盾抗性增效器,电磁护盾增效器,
紧凑型动能护盾增效器,9582,舰船装备,护盾,护盾抗性增效器,动能护盾增效器,
紧凑型动能护盾增强器,9608,舰船装备,护盾,护盾增强系统,动能护盾增强器,
紧凑型电磁护盾增强器,9622,舰船装备,护盾,护盾增强系统,电磁护盾增强器,
紧凑型多谱式护盾增强器,9632,舰船装备,护盾,护盾增强系统,多谱式护盾增强器,
紧凑型爆炸护盾增强器,9646,舰船装备,护盾,护盾增强系统,爆炸护盾增强器,
紧凑型热能护盾增强器,9660,舰船装备,护盾,护盾增强系统,热能护盾增强器,
大型基础震荡离子炸弹 I,9668,舰船装备,立体炸弹,大型,,
小型基础震荡离子炸弹 I,9670,舰船装备,立体炸弹,小型,,
盛怒大型激波电荷炸弹 I,9678,舰船装备,立体炸弹,大型,,
盛怒小型激波电荷炸弹 I,9680,舰船装备,立体炸弹,小型,,
微型基础震荡离子炸弹 I,9702,舰船装备,立体炸弹,微型,,
盛怒微型激波电荷炸弹 I,9706,舰船装备,立体炸弹,微型,,
中型基础震荡离子炸弹 I,9728,舰船装备,立体炸弹,中型,,
盛怒中型激波电荷炸弹 I,9734,舰船装备,立体炸弹,中型,,
南风小型爆弹 I,9744,舰船装备,立体炸弹,小型,,
南风微型爆弹 I,9750,舰船装备,立体炸弹,微型,,
南风中型爆弹 I,9762,舰船装备,立体炸弹,中型,,
南风大型爆弹 I,9772,舰船装备,立体炸弹,大型,,
小型YF-12a立体炸弹,9784,舰船装备,立体炸弹,小型,,
微型YF-12a立体炸弹,9790,舰船装备,立体炸弹,微型,,
中型YF-12a立体炸弹,9800,舰船装备,立体炸弹,中型,,
大型YF-12a立体炸弹,9808,舰船装备,立体炸弹,大型,,
碳,9826,贸易货物,工业货物,,,
硅,9828,制造和研究,材料,行星材料,加工过的行星材料,
火箭燃料,9830,制造和研究,材料,行星材料,精炼过的行星材料,
冷却剂,9832,制造和研究,材料,行星材料,精炼过的行星材料,
制导系统,9834,制造和研究,材料,行星材料,特殊行星材料,
消费级电器,9836,制造和研究,材料,行星材料,精炼过的行星材料,
超导体,9838,制造和研究,材料,行星材料,精炼过的行星材料,
传信器,9840,制造和研究,材料,行星材料,精炼过的行星材料,
微型电子元件,9842,制造和研究,材料,行星材料,精炼过的行星材料,
小型军械,9844,贸易货物,消费品,,,
大气内穿梭机,9846,制造和研究,材料,行星材料,特殊行星材料,
